personid,age,gender
1710000501,9,2
1710000502,10,1
1710002401,6,3
1710002402,6,2
1710002403,1,4
1710005201,10,
1710005901,6,1
1710006001,10,1
1710010201,7,1
1710010801,6,2
1710010802,6,1
1710011101,9,2
1710011102,9,1
1710011103,4,1
1710011104,3,1
1710013701,7,2
1710014901,8,1
1710014902,8,2
1710014903,4,1
1710014904,3,1
1710017901,8,2
1710017902,9,1
1710017903,4,2
1710020301,7,2
1710020302,7,1
1710020303,1,1
1710020304,1,2
1710020801,6,2
1710020802,8,1
1710020803,3,2
1710022101,7,1
1710023101,10,1
1710023102,10,2
1710023301,10,1
1710023302,9,2
1710023801,11,1
1710023802,10,2
1710024801,7,1
1710025501,6,2
1710028001,7,2
1710029101,8,2
1710029102,5,2
1710030301,6,2
1710030302,6,1
1710032601,6,2
1710032602,6,1
1710034201,6,2
1710034202,6,2
1710037201,7,2
1710037202,7,1
1710041001,7,2
1710041101,6,1
1710041401,7,2
1710041402,7,1
1710041403,1,2
1710041801,7,1
1710041802,7,2
1710043301,6,2
1710043302,6,1
1710044101,9,2
1710044102,10,1
1710045801,8,1
1710047701,7,4
1710047702,6,4
1710047703,1,4
1710047704,1,4
1710048201,9,2
1710049201,10,2
1710050101,6,2
1710056301,7,1
1710056901,6,1
1710059001,5,2
1710062701,7,2
1710065201,6,1
1710065202,5,2
1710065203,1,2
1710065401,8,2
1710065402,8,1
1710065403,3,2
1710066301,6,1
1710067301,6,1
1710067302,-2,2
1710067501,8,2
1710068101,6,1
1710068102,6,2
1710071701,9,1
1710073901,8,2
1710073902,5,2
1710073903,12,2
1710076001,8,1
1710076002,8,2
1710076003,4,2
1710076004,5,1
1710076101,7,2
1710076102,7,1
1710076103,2,2
1710076104,2,1
1710078901,7,1
1710078902,7,2
1710078903,3,1
1710079401,7,2
1710079402,7,1
1710079403,7,1
1710080001,9,1
1710080701,9,1
1710081801,9,1
1710082201,9,1
1710082202,9,2
1710083401,5,2
1710083402,5,1
1710083601,8,1
1710083602,8,2
1710083603,2,2
1710083701,7,2
1710085901,6,1
1710085902,6,2
1710086801,8,2
1710086802,8,1
1710088901,6,2
1710089201,6,1
1710089202,6,2
1710090701,7,4
1710090801,8,1
1710092401,10,2
1710092402,7,1
1710092403,6,2
1710093901,7,1
1710093902,7,2
1710093903,1,1
1710093904,1,1
1710094201,7,2
1710095201,7,1
1710095202,5,2
1710095701,7,1
1710095702,7,1
1710096401,6,1
1710096402,6,2
1710098201,12,2
1710098401,8,2
1710098402,8,1
1710098403,5,1
1710098601,6,2
1710099201,7,1
1710101301,6,2
1710103101,6,1
1710103102,6,2
1710104201,8,1
1710106401,9,2
1710107901,5,2
1710108601,6,2
1710108602,6,1
1710108603,1,1
1710112801,9,1
1710112802,9,1
1710113001,7,2
1710117901,6,2
1710117902,6,1
1710121301,6,2
1710121302,6,1
1710122301,8,1
1710122302,8,2
1710122303,3,2
1710122304,3,2
1710122305,2,2
1710123601,10,1
1710124001,10,1
1710124002,10,2
1710125001,6,2
1710125002,6,1
1710126301,6,1
1710127501,9,2
1710129101,8,1
1710131901,6,1
1710132501,6,1
1710132502,6,2
1710133501,6,1
1710134401,10,2
1710134402,10,1
1710134403,3,1
1710137501,8,1
1710137502,7,2
1710137503,2,1
1710137504,1,2
1710137901,7,1
1710137902,7,2
1710137903,3,1
1710137904,2,1
1710138501,8,1
1710139101,8,2
1710139102,10,1
1710143601,10,1
1710143602,10,1
1710144801,11,2
1710144802,11,1
1710146901,7,1
1710146902,6,2
1710146903,3,1
1710148901,7,1
1710148902,7,2
1710150401,7,1
1710150402,7,2
1710150403,2,2
1710150404,1,2
1710151701,6,2
1710151702,5,1
1710154501,8,2
1710154502,4,2
1710159201,6,2
1710159202,6,1
1710159203,2,1
1710159204,1,1
1710160601,7,2
1710160602,8,2
1710161701,5,4
1710161901,6,1
1710162601,6,1
1710162602,6,2
1710163501,10,1
1710165701,11,1
1710166701,9,1
1710166702,9,2
1710166703,6,1
1710166704,5,1
1710168101,7,1
1710168102,7,2
1710168103,2,2
1710168104,2,1
1710168105,2,1
1710169201,6,2
1710169202,6,1
1710169701,6,2
1710169702,6,1
1710169703,1,1
1710169704,2,2
1710169801,7,2
1710169802,7,3
1710170401,7,1
1710170402,7,2
1710171401,7,1
1710172001,9,2
1710172002,11,1
1710174501,8,2
1710174502,5,2
1710174503,4,1
1710178501,8,1
1710179201,11,1
1710179202,10,2
1710185201,7,1
1710185202,7,2
1710185203,1,1
1710185204,1,2
1710185301,9,1
1710185302,9,2
1710185303,6,1
1710185501,6,1
1710186701,6,2
1710187301,6,1
1710187302,6,2
1710188201,9,1
1710188601,8,2
1710189801,6,2
1710189802,10,1
1710189803,9,2
1710190901,6,2
1710190902,7,1
1710190903,1,2
1710192201,6,2
1710192202,5,1
1710192801,5,2
1710192802,5,2
1710194401,6,1
1710194402,6,1
1710194701,6,1
1710194901,9,1
1710194902,6,1
1710195301,5,1
1710195302,6,1
1710195601,7,2
1710195602,7,2
1710198501,8,2
1710198502,8,1
1710198801,7,2
1710198802,7,1
1710198803,1,2
1710200301,9,2
1710206101,7,2
1710206102,7,1
1710210901,9,2
1710216601,6,1
1710216602,6,2
1710216603,2,2
1710216604,1,1
1710222701,6,1
1710225201,7,1
1710226901,7,1
1710226902,7,2
1710227301,6,1
1710227401,11,1
1710227402,11,2
1710227501,6,2
1710227502,6,1
1710227601,6,2
1710228001,10,2
1710228901,6,2
1710228902,6,1
1710228903,10,2
1710228904,10,1
1710231301,10,2
1710237401,6,2
1710237402,6,1
1710237403,1,1
1710238701,6,2
1710238702,2,1
1710239801,6,2
1710240801,6,2
1710240802,6,1
1710244901,9,2
1710244902,10,1
1710246101,8,2
1710246601,7,2
1710248501,8,2
1710248502,2,2
1710248503,8,2
1710248504,11,1
1710248505,2,2
1710250201,6,2
1710254901,6,1
1710254902,6,2
1710255601,7,1
1710257501,10,2
1710257701,8,1
1710257702,8,2
1710257703,4,2
1710257704,2,1
1710257801,6,1
1710257802,6,2
1710260801,11,2
1710261801,6,2
1710262801,5,1
1710263001,6,1
1710263701,7,2
1710263702,8,1
1710263703,1,1
1710263704,1,1
1710267101,9,3
1710268401,7,2
1710268402,7,1
1710268403,2,2
1710268404,1,1
1710269401,8,1
1710269402,3,1
1710269403,8,2
1710269501,8,2
1710269502,9,1
1710269503,4,2
1710271001,6,2
1710271002,6,1
1710271003,1,2
1710271301,7,2
1710271302,2,1
1710271303,10,2
1710273701,5,2
1710273702,5,1
1710278301,6,1
1710278701,6,1
1710278702,6,2
1710279801,10,2
1710280401,8,2
1710281901,7,1
1710281902,6,2
1710281903,2,2
1710286601,9,1
1710286602,9,2
1710287201,9,1
1710287202,6,2
1710287203,2,2
1710290501,6,1
1710290502,6,2
1710290503,1,2
1710290801,11,1
1710291001,6,2
1710293201,11,1
1710294401,6,2
1710294402,6,1
1710296601,9,1
1710296602,9,2
1710298601,7,1
1710298801,11,1
1710298802,9,2
1710302201,6,1
1710303101,6,1
1710303102,5,2
1710303103,5,1
1710303801,6,2
1710303802,6,1
1710303803,5,1
1710303804,5,1
1710305001,8,1
1710305002,2,1
1710305003,2,1
1710305901,6,2
1710311001,7,1
1710311002,7,2
1710311401,8,1
1710311402,8,2
1710311403,3,1
1710313801,9,1
1710314701,9,2
1710314801,8,2
1710314802,9,2
1710321101,9,1
1710324101,7,1
1710324102,6,2
1710324103,1,1
1710324201,6,2
1710330201,8,2
1710341501,10,1
1710341502,9,2
1710342801,8,1
1710342802,8,2
1710345401,6,1
1710345402,6,2
1710345601,6,1
1710347701,6,1
1710350001,8,2
1710350002,9,1
1710351701,6,1
1710351702,6,2
1710353301,6,2
1710353302,6,1
1710353801,7,1
1710353802,6,2
1710355701,5,1
1710357401,6,1
1710358701,9,2
1710359401,5,2
1710359402,5,1
1710361401,8,1
1710362301,7,2
1710362302,7,1
1710364001,9,1
1710364002,10,2
1710364801,5,2
1710364802,6,1
1710365901,7,2
1710366001,7,2
1710367001,7,1
1710367201,6,1
1710367202,6,2
1710367701,6,2
1710367702,6,1
1710374101,10,2
1710375101,10,1
1710375102,10,2
1710377901,7,2
1710377902,7,1
1710379801,11,1
1710380201,9,2
1710380202,6,1
1710380203,5,2
1710380901,7,4
1710382401,8,1
1710382601,7,1
1710383601,6,1
1710383801,5,1
1710383802,5,1
1710386101,6,1
1710386102,6,2
1710390201,8,2
1710390202,7,1
1710390203,3,1
1710390204,2,2
1710391301,6,1
1710391302,7,2
1710391303,1,1
1710394701,6,1
1710394702,5,2
1710397201,10,2
1710397202,10,1
1710408801,9,2
1710409501,7,1
1710409502,7,2
1710409503,2,1
1710409504,2,2
1710409505,1,1
1710410501,11,2
1710412501,8,1
1710412502,8,2
1710412503,3,2
1710412504,2,2
1710412505,2,2
1710414701,6,1
1710415801,6,2
1710417001,7,2
1710417002,6,1
1710417101,7,2
1710419001,9,2
1710419002,9,1
1710419701,6,4
1710422201,5,1
1710422202,5,2
1710422701,7,2
1710423601,9,2
1710424701,8,2
1710425501,6,1
1710425502,1,4
1710425503,1,4
1710425504,6,2
1710428101,6,1
1710429901,6,1
1710429902,6,2
1710430001,10,1
1710430002,9,2
1710435801,6,1
1710435802,6,2
1710436601,8,1
1710436602,8,1
1710436603,3,2
1710436604,2,1
1710437201,9,1
1710438301,6,2
1710438302,6,2
1710439501,8,1
1710439502,8,2
1710439503,4,1
1710439901,11,2
1710439902,11,1
1710441201,9,4
1710441202,8,4
1710443301,6,1
1710443401,8,2
1710443402,9,1
1710444001,6,1
1710444002,6,2
1710444901,7,1
1710444902,7,2
1710444903,1,1
1710445901,7,2
1710445902,8,1
1710446801,6,2
1710449401,11,1
1710450001,7,2
1710450002,7,1
1710455201,10,2
1710456201,9,2
1710456301,6,2
1710456701,7,2
1710456702,7,2
1710457101,6,1
1710457102,5,1
1710457501,6,2
1710457502,6,1
1710457601,7,2
1710457801,10,2
1710459801,7,2
1710460101,8,2
1710460201,5,2
1710461401,6,2
1710461701,8,2
1710461702,8,1
1710461703,3,1
1710461704,2,1
1710463901,6,1
1710463902,6,2
1710464701,7,1
1710464702,7,2
1710464703,2,2
1710464704,1,1
1710465701,7,1
1710465702,6,2
1710465801,6,1
1710465802,6,2
1710466001,7,1
1710466002,7,1
1710467401,9,2
1710467901,7,2
1710468301,7,1
1710468302,7,2
1710468303,2,2
1710468304,1,1
1710470601,10,1
1710471101,8,1
1710471102,8,2
1710471103,4,1
1710471104,3,2
1710472901,6,1
1710475001,8,2
1710475002,8,1
1710475003,4,1
1710475004,2,2
1710476401,10,2
1710480101,10,1
1710480102,11,2
1710482101,10,1
1710482401,6,1
1710484701,7,2
1710484702,7,1
1710484703,2,2
1710484704,2,1
1710485601,7,4
1710487101,7,2
1710488701,7,1
1710488702,6,2
1710488703,1,2
1710489301,9,2
1710494501,6,1
1710494502,6,2
1710494801,11,2
1710494802,12,1
1710499401,10,1
1710499402,10,2
1710504701,10,2
1710505201,6,2
1710505202,6,1
1710506401,5,1
1710509401,6,1
1710509801,7,1
1710515301,8,2
1710516501,11,1
1710517201,6,1
1710517202,6,2
1710520101,10,2
1710520501,5,1
1710520701,7,2
1710522101,8,1
1710522801,6,2
1710522802,6,1
1710523101,9,2
1710523102,9,1
1710524201,8,1
1710524202,9,2
1710524601,6,2
1710525601,6,1
1710525602,5,2
1710525603,1,2
1710525604,1,1
1710525701,7,2
1710525702,7,1
1710526201,7,2
1710526202,7,2
1710528001,8,2
1710528002,8,1
1710529801,7,2
1710531001,7,2
1710531601,6,1
1710531602,6,2
1710533601,6,2
1710533602,6,1
1710539201,9,2
1710539202,9,1
1710540901,7,2
1710544301,8,2
1710544501,7,1
1710544502,7,2
1710544503,2,1
1710544504,1,2
1710544901,6,2
1710547201,6,2
1710547202,6,1
1710547203,6,2
1710548301,6,1
1710548302,6,2
1710551501,8,1
1710553601,9,1
1710553602,8,2
1710554901,8,2
1710558101,7,1
1710560601,8,1
1710560602,8,1
1710561401,6,2
1710564501,9,1
1710564502,8,2
1710564503,5,2
1710565801,9,1
1710565802,10,2
1710566201,6,1
1710566202,6,2
1710567201,7,1
1710567202,7,2
1710567203,2,2
1710567204,1,2
1710567205,1,2
1710567801,9,1
1710567802,10,2
1710568401,8,2
1710568402,2,1
1710568403,3,1
1710568901,6,1
1710568902,5,2
1710569301,8,1
1710569302,7,2
1710569401,10,2
1710571901,6,1
1710574701,8,1
1710575901,9,2
1710576601,9,1
1710577201,8,2
1710577301,6,2
1710577302,6,1
1710577303,3,2
1710577304,1,1
1710578401,9,1
1710578501,7,1
1710578502,8,2
1710578901,5,2
1710579001,6,1
1710579101,9,1
1710579102,8,2
1710579201,6,2
1710581401,6,1
1710582701,11,2
1710586401,7,2
1710586402,7,1
1710586403,1,1
1710587501,6,1
1710588901,7,4
1710588902,7,1
1710590601,6,1
1710590801,10,2
1710591601,8,1
1710591602,6,2
1710592001,10,2
1710592002,10,1
1710592201,6,2
1710592202,6,1
1710593901,6,1
1710593902,6,2
1710593903,1,1
1710594801,9,2
1710594802,4,2
1710597901,6,2
1710597902,1,2
1710601101,7,1
1710601102,7,2
1710601103,2,2
1710601104,2,1
1710601201,10,2
1710601202,10,1
1710601501,11,1
1710601502,11,2
1710601701,7,1
1710601702,7,2
1710601703,2,1
1710601704,3,2
1710602801,6,2
1710602802,6,2
1710604401,9,2
1710604402,5,2
1710605701,6,1
1710608701,8,2
1710613201,11,1
1710613202,10,2
1710615701,7,2
1710615702,7,2
1710618301,6,2
1710618302,6,1
1710618401,8,2
1710618402,4,1
1710619001,6,2
1710620801,10,1
1710620802,10,2
1710624801,10,2
1710624802,7,1
1710627701,10,1
1710627801,7,2
1710627802,1,1
1710628201,10,2
1710628202,10,1
1710632901,6,1
1710634001,6,1
1710634002,6,2
1710634003,1,2
1710634401,7,2
1710634402,2,1
1710634403,1,2
1710634404,7,1
1710634901,8,2
1710637601,6,1
1710637602,6,2
1710638101,9,2
1710638102,9,1
1710639001,7,1
1710639002,7,2
1710640201,6,1
1710642201,11,1
1710642202,11,2
1710644001,6,4
1710644002,6,4
1710644201,7,1
1710644202,7,2
1710644203,2,2
1710644204,2,1
1710644205,1,1
1710644206,1,1
1710647001,5,4
1710649501,10,1
1710649502,10,2
1710649601,9,1
1710649602,9,2
1710649603,3,2
1710651801,6,2
1710651802,7,1
1710657401,6,2
1710657402,6,1
1710657403,8,2
1710658001,5,1
1710659401,9,2
1710659402,10,1
1710664301,6,2
1710664501,10,2
1710664801,6,1
1710667001,7,2
1710667002,7,2
1710667003,1,1
1710668001,6,1
1710668002,6,2
1710669101,10,2
1710669102,10,1
1710672701,9,1
1710676001,7,1
1710676002,7,2
1710677601,11,1
1710677602,11,2
1710682301,7,2
1710682401,6,1
1710683501,8,1
1710684701,6,2
1710685401,6,2
1710685402,7,1
1710685403,1,1
1710685404,1,2
1710686401,7,2
1710686402,7,1
1710686403,2,2
1710686404,10,2
1710687601,9,1
1710687602,6,1
1710690901,6,2
1710690902,6,1
1710691801,6,2
1710692901,6,1
1710692902,6,2
1710694601,10,2
1710694602,10,1
1710694901,6,1
1710694902,6,2
1710696501,9,1
1710697001,8,2
1710697002,8,1
1710697003,6,2
1710697401,7,1
1710697402,6,2
1710699901,7,4
1710700101,9,2
1710702001,6,1
1710702002,6,2
1710702003,1,1
1710702004,1,1
1710702501,6,2
1710702502,7,1
1710703201,7,1
1710703301,8,1
1710705101,9,2
1710705102,10,1
1710707701,8,1
1710709001,7,1
1710709002,6,2
1710709901,8,1
1710713101,8,1
1710713901,7,2
1710713902,7,2
1710714101,9,1
1710714102,9,2
1710714201,9,1
1710714202,9,2
1710717501,6,1
1710717502,6,2
1710717601,9,1
1710719201,7,2
1710722001,7,1
1710722101,9,2
1710722102,9,1
1710724401,10,2
1710725101,7,2
1710725102,7,1
1710725501,7,2
1710725502,8,1
1710725503,3,1
1710725504,2,1
1710726901,6,1
1710731901,5,2
1710731902,5,1
1710734201,7,2
1710734202,2,1
1710737601,8,1
1710737602,8,1
1710740901,7,1
1710740902,7,2
1710740903,2,1
1710740904,1,2
1710741001,7,2
1710748801,8,1
1710748802,8,2
1710749001,6,1
1710749002,7,2
1710751901,6,1
1710751902,6,2
1710753401,6,1
1710754301,7,2
1710756701,10,1
1710757201,5,2
1710757202,5,2
1710760201,10,1
1710760701,9,1
1710760702,9,2
1710761901,9,1
1710761902,8,2
1710762801,5,1
1710767701,7,1
1710768901,9,2
1710768902,9,1
1710769501,6,2
1710770501,9,2
1710771601,7,2
1710773001,7,1
1710773002,6,2
1710773003,2,1
1710774201,9,1
1710774202,9,2
1710777301,6,2
1710778901,5,2
1710781201,9,2
1710783601,10,1
1710783602,10,2
1710784501,6,1
1710784502,6,2
1710788501,6,1
1710790201,7,1
1710790202,7,2
1710790203,1,1
1710790701,10,2
1710791301,11,2
1710793001,9,2
1710794001,6,1
1710794002,6,2
1710794003,1,2
1710794401,6,2
1710794402,7,1
1710794501,7,1
1710800001,6,1
1710801601,6,2
1710803901,7,2
1710803902,7,1
1710803903,9,2
1710803904,1,1
1710804301,6,2
1710809401,7,1
1710809402,7,2
1710809403,2,1
1710809404,1,2
1710813501,8,2
1710820001,7,1
1710820002,7,2
1710823901,8,2
1710823902,8,1
1710824701,8,1
1710828101,6,2
1710829101,10,1
1710829102,10,2
1710830601,7,1
1710831501,5,2
1710831502,5,2
1710835101,6,1
1710835102,9,1
1710835801,5,1
1710842201,9,1
1710842202,9,2
1710843001,8,2
1710843002,8,1
1710843701,10,1
1710843702,9,2
1710844101,9,1
1710844102,9,2
1710844103,6,1
1710845001,6,2
1710845901,9,2
1710845902,9,1
1710847301,5,2
1710847401,7,1
1710847402,6,1
1710849201,9,2
1710850001,6,1
1710850002,6,1
1710850801,11,2
1710851301,6,1
1710851302,6,2
1710853601,8,1
1710853602,7,2
1710853603,1,2
1710853604,1,1
1710854301,7,2
1710854302,7,1
1710857601,6,2
1710857602,6,1
1710859501,7,2
1710859502,6,1
1710864001,6,2
1710864002,6,2
1710864301,6,2
1710864302,8,2
1710867801,8,2
1710872101,6,1
1710872301,5,2
1710872302,5,2
1710872701,10,1
1710873501,6,2
1710874901,7,2
1710874902,6,1
1710879801,10,1
1710879802,10,2
1710879901,7,1
1710881401,10,2
1710883301,6,1
1710883302,6,2
1710885901,11,1
1710885902,10,2
1710886601,6,1
1710886602,6,2
1710887701,8,2
1710887702,8,1
1710887703,3,2
1710890801,6,1
1710891801,10,2
1710897301,6,2
1710897302,6,1
1710898201,5,2
1710899401,5,1
1710902101,8,1
1710902102,8,2
1710902301,6,4
1710902302,6,4
1710906401,10,2
1710909301,9,2
1710909302,8,2
1710910701,8,1
1710910702,7,2
1710910703,2,1
1710910704,2,1
1710910901,6,1
1710911401,6,2
1710911402,6,1
1710911601,6,1
1710911602,6,2
1710912001,9,1
1710912801,7,1
1710912802,7,2
1710912803,1,1
1710912901,10,1
1710912902,10,2
1710913101,5,2
1710913801,10,2
1710913802,10,1
1710914701,6,1
1710914702,6,2
1710916401,8,2
1710921201,6,1
1710921202,6,2
1710923901,6,1
1710923902,6,2
1710929801,7,1
1710929802,8,2
1710930801,10,1
1710930802,9,2
1710935801,9,1
1710935802,10,2
1710936701,10,1
1710936702,10,2
1710936703,8,1
1710938801,9,2
1710939301,10,1
1710940701,7,2
1710940801,6,1
1710941801,10,1
1710941802,9,1
1710942501,8,2
1710942502,8,1
1710942503,1,2
1710943601,10,2
1710944401,12,2
1710945101,7,1
1710945102,6,2
1710949501,8,2
1710950401,6,1
1710950901,9,2
1710952101,10,1
1710952701,9,1
1710952702,10,2
1710954201,7,1
1710954202,7,2
1710954203,1,1
1710954204,1,2
1710954701,7,1
1710954702,7,1
1710954703,7,1
1710955501,5,2
1710958001,8,2
1710958601,5,2
1710960101,9,1
1710960102,8,2
1710960103,4,2
1710960601,6,2
1710961501,6,2
1710961502,6,1
1710961503,1,1
1710961504,1,1
1710964401,9,2
1710964402,5,1
1710964601,6,1
1710964602,6,1
1710965101,8,1
1710965701,6,1
1710965702,6,2
1710968001,6,2
1710968002,6,1
1710968003,1,1
1710969001,6,1
1710969201,8,2
1710970301,10,1
1710970302,8,1
1710970401,7,2
1710970402,7,1
1710974001,9,1
1710974002,8,2
1710977601,9,2
1710977602,10,1
1710979001,8,2
1710979002,8,1
1710979003,5,2
1710979801,8,2
1710979802,7,1
1710980201,6,1
1710980202,7,1
1710981201,6,2
1710982901,7,1
1710982902,6,2
1710983501,6,1
1710985101,6,2
1710985102,6,1
1710985103,1,1
1710988401,9,2
1710989801,7,2
1710989802,7,1
1710989803,2,2
1710989804,1,1
1710995001,10,1
1710995002,10,2
1710997301,8,1
1711000001,7,1
1711000002,7,2
1711000003,2,1
1711000004,2,1
1711000701,10,1
1711000702,9,2
1711000703,5,2
1711003701,10,1
1711003702,10,2
1711003801,10,2
1711007101,10,2
1711007102,6,2
1711010901,8,1
1711010902,7,2
1711010903,1,1
1711010904,1,2
1711012401,10,1
1711012402,10,2
1711012801,9,1
1711012802,9,2
1711013601,6,2
1711013602,6,1
1711023001,6,2
1711023002,7,1
1711026501,7,2
1711027901,6,2
1711027902,6,1
1711031101,5,1
1711033101,6,2
1711033701,10,1
1711033702,10,2
1711034001,6,2
1711034002,6,2
1711034301,6,1
1711034302,6,1
1711036401,6,1
1711037801,7,1
1711037802,7,2
1711037803,2,2
1711037804,1,2
1711037901,7,1
1711037902,6,2
1711038201,10,2
1711038701,9,2
1711039901,8,2
1711043001,8,1
1711043002,4,2
1711043003,7,2
1711044701,11,2
1711044702,9,2
1711045901,8,1
1711045902,7,2
1711045903,5,1
1711045904,4,1
1711045905,2,1
1711045906,1,2
1711046101,7,2
1711046102,7,1
1711046501,7,2
1711046502,7,1
1711046503,2,1
1711046504,1,2
1711046505,1,1
1711048101,10,1
1711048102,10,2
1711051601,12,2
1711053301,8,1
1711053901,8,2
1711053902,5,1
1711057101,9,2
1711057701,6,2
1711059501,9,2
1711060701,7,1
1711060702,7,2
1711063901,6,1
1711063902,6,2
1711063903,1,2
1711066201,10,1
1711066202,10,2
1711066601,5,1
1711069301,10,2
1711070501,7,2
1711070502,2,2
1711070503,1,1
1711072901,8,1
1711073301,7,1
1711073302,7,2
1711073303,1,2
1711073701,7,1
1711073702,6,2
1711076001,6,2
1711077501,10,2
